코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
123182	      투자자산손상차손환입													
123183	      매도가능금융자산손상차손환입													
123184	      만기보유금융자산손상차손환입													
123177	      기타장단기투자자산손상차손환입													
123185	      지분법주식손상차손환입													
123211	      종속기업투자손상차손환입													
123212	      관계기업투자손상차손환입													
123213	      조인트벤처투자손상차손환입													
123186	      유형자산손상차손환입													
123187	      무형자산손상차손환입													
123188	      기타자산손상차손환입													
123190	   주식보상비용환입													
123191	   법인세환급액													
123193	   중간기간오류이익													
123194	   중간기간영업외수익조정													
123195	   전기오류수정이익													
123196	   복구충당부채환입액													
123197	   복구공사이익													
123198	   유동화수익													
123199	   자산수증이익													
123201	   채무면제이익													
123202	   해외사업환산이익환입													
123203	   정부보조금													
123204	   기타수익													
123300	기타영업비용													
123301	   재고자산의변동													
123302	   원재료와소모품의사용													
123303	   금융비용													
123399	   [공시금융비용]													
123304	      이자비용													
123305	      사채이자													
123316	      매출채권처분손실													
123341	      상환우선주배당금													
123306	      기타금융비용													
123307	   단기투자자산처분손실													
123308	   장기투자자산처분손실													
123366	   투자자산처분손실													
123309	   단기금융상품처분손실													
123310	   단기매매금융자산처분손실													
123394	   당기손익인식금융자산처분손실													
123367	   매도가능금융자산처분손실													
123368	   만기보유금융자산처분손실													
123176	   기타장단기투자자산처분손실													
123311	   지분법주식처분손실													
123312	   종속기업투자처분손실													
123313	   관계기업투자처분손실													
123314	   조인트벤처투자처분손실													
123317	   임대주택자산처분손실													
123365	   유,무형,리스자산처분손실													
123318	   신주인수권처분손실													
123395	   기타자산처분손실													
123319	   기부금													
123320	   외환차손													
123321	   외화환산손실													
123322	   파생상품거래손실													
123323	   파생상품거래차상각													
123324	   파생상품평가손실													
123325	   자산평가손실													
123332	      투자자산평가손실													
123326	      단기금융상품평가손실													
123329	      단기매매금융자산평가손실													
123338	      당기손익인식금융자산평가손실													
123333	      매도가능금융자산평가손실													
123331	      기타장단기투자자산평가손실													
123330	      단기투자일임계약자산평가손실													
123327	      재고자산평가손실													
123328	      재고자산감모손실													
123334	      유형자산평가손실													
123335	      무형자산평가손실													
123336	      투자부동산평가손실													
123396	      기타자산평가손실													
123337	   매출할인													
123358	   수수료비용													
123339	   원가차손													
123342	   무형자산상각비													
123343	      영업권상각													
123344	      부의영업권환입(-)													
123345	      라이선스와프랜차이즈상각													
123346	      산업재산권상각													
123347	      저작권상각													
123348	      임차권리금상각													
123349	      광업권상각													
123350	      어업권상각													
123351	      차지권상각													
123352	      전용시설이용권상각													
123353	      창업비상각													
123354	      개발비상각													
123355	      소프트웨어상각													
123356	      기타무형자산상각													
123363	   기타대손상각비													
123357	   감가상각비													
123369	   자전거래손실													
123370	   공정가액조정손실													
123380	   사채상환손실													
123384	   전환사채전환손실													
123381	   부채상환손실													
123382	   지분법손실													
123371	   자산손상차손													
123372	      임대주택자산손상차손													
123373	      투자자산손상차손													
123374	      매도가능금융자산손상차손													
123375	      만기보유금융자산손상차손													
123178	      기타장단기투자자산손상차손													
123376	      지분법주식손상차손													
123360	      종속기업투자손상차손													
123361	      관계기업투자손상차손													
123362	      조인트벤처투자손상차손													
123377	      유형자산손상차손													
123378	      무형자산손상차손													
123379	      기타자산손상차손													
123383	   법인세추납액													
123385	   중간기간오류손실													
123386	   중간기간영업외비용조정													
123387	   전기오류수정손실													
123388	   복구충당부채전입액													
123389	   복구공사손실													
123390	   재해손실													
123391	   특별상각													
123392	   해외사업환산손실상각													
123393	   기타비용													
124000	판매비와관리비	16450257000	47580754000	69676377000	88184827000	20269013000	54266165000	77868292000	102023111000	20702283000	48453189000	77817307000	111941775000	30894712000
124001	[총종업원급여]	45584438000	103481520000	171083880000	237960701000	59949553000	122040737000	187228636000	262490659000	69043059000	137874874000	208188104000	303186866000	75620355000
124002	[총감가상각비]	21389025000	40516092000	59530646000	78894084000	18686190000	37561567000	56132833000	74329619000	17998701000	35936242000	53703074000	71437769000	19321239000
124003	[총무형자산상각비]	1533577000	2514540000	3492092000	4103743000	1006055000	2019340000	2977685000	3783227000	773825000	1586605000	2403449000	3220885000	903057000
