코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
123351	      차지권상각													
123352	      전용시설이용권상각													
123353	      창업비상각													
123354	      개발비상각													
123355	      소프트웨어상각													
123356	      기타무형자산상각													
123363	   기타대손상각비													
123357	   감가상각비													
123369	   자전거래손실													
123370	   공정가액조정손실													
123380	   사채상환손실													
123384	   전환사채전환손실													
123381	   부채상환손실													
123382	   지분법손실													
123371	   자산손상차손													
123372	      임대주택자산손상차손													
123373	      투자자산손상차손													
123374	      매도가능금융자산손상차손													
123375	      만기보유금융자산손상차손													
123178	      기타장단기투자자산손상차손													
123376	      지분법주식손상차손													
123360	      종속기업투자손상차손													
123361	      관계기업투자손상차손													
123362	      조인트벤처투자손상차손													
123377	      유형자산손상차손													
123378	      무형자산손상차손													
123379	      기타자산손상차손													
123383	   법인세추납액													
123385	   중간기간오류손실													
123386	   중간기간영업외비용조정													
123387	   전기오류수정손실													
123388	   복구충당부채전입액													
123389	   복구공사손실													
123390	   재해손실													
123391	   특별상각													
123392	   해외사업환산손실상각													
123393	   기타비용													
124000	판매비와관리비	6608455000	14248151000	21137016000	29050837000	6904545000	13966559000	23364167000	32627615000	7074624000	13558746000	22296625000	31828787000	7200718000
124001	[총종업원급여]	77452929000	84477608000	123293778000	168246059000	40102768000	79711187000	122312823000	171094335000	42872098000	80243489000	122314498000	172537464000	43872487000
124002	[총감가상각비]	7294823000	14670971000	22359575000	30215942000	7854599000	15735700000	23561863000	31612885000	7756679000	15555443000	23580828000	31936413000	8285837000
124003	[총무형자산상각비]	91818000	183751000	279553000	382452000	100472000	201114000	304584000	378689000	74290000	146008000	213356000	281391000	69782000
124100	   인건비	4174934000	9265266000	13392939000	18155122000	4483681000	9104931000	15665844000	21093464000	4719206000	8601918000	14645085000	20454977000	4818502000
124105	      단기종업원급여	3418650000	7775995000	11205748000	15109289000	3640068000	7411525000	10976749000	15431309000	3803939000	6872414000	10511605000	15219942000	3875881000
124110	         임원급여													
124120	         급료와임금	3418650000	7775995000	11205748000	15109289000	3640068000	7411525000	10976749000	15431309000	3803939000	6872414000	10511605000	15219942000	3875881000
124130	         제수당													
124140	         상여금													
124145	      퇴직급여	197868000	403699000	622524000	828525000	241474000	493205000	735581000	979874000	272866000	541047000	812118000	1091074000	286982000
124165	      해고급여				5928000	4555000	4555000	4555000	4555000					
124166	      기타장기종업원급여													
124180	      주식보상비용													
124170	      복리후생비	558416000	1085572000	1564667000	2211380000	597584000	1195646000	3948959000	4677726000	642401000	1188457000	3321362000	4143961000	655639000
124199	      기타인건비													
124200	   일반관리비	1938772000	3876792000	5767297000	7996119000	1897227000	3788318000	5820527000	8870046000	1835435000	3888690000	5693217000	8505553000	1900306000
124211	      여비교통비	35223000	85988000	138959000	265175000	31496000	102739000	155225000	265942000	25816000	87279000	137198000	203218000	41268000
124212	      통신비	29840000	61785000	92718000	124252000	30587000	61612000	93176000	126109000	31249000	62036000	91230000	123616000	31891000
124213	      수도광열비	48489000	74244000	114783000	145563000	45694000	67199000	113662000	146005000	51575000	81006000	123793000	156348000	45930000
124214	      세금과공과	153539000	504311000	603004000	707099000	232104000	592231000	869282000	935280000	287007000	663879000	918533000	998378000	391281000
124215	      임차료비용	26988000	48825000	76129000	103463000	29746000	56541000	86592000	115339000	28517000	55652000	82858000	109714000	27338000
124216	      감가상각비	618061000	1232486000	1849981000	2428221000	565956000	1118114000	1632415000	2122106000	483116000	971413000	1462312000	1965936000	501991000
124217	      수선비	7778000	20808000	26700000	59396000	8228000	24171000	35523000	72417000	19350000	34777000	42431000	64845000	18740000
124218	      보험료	62000	129000	9997000	10065000	278000	587000	10247000	10559000	312000	641000	9974000	10324000	131000
124219	      도서구입비													
124220	      소모품비	30488000	57925000	90856000	129093000	30133000	54101000	74518000	130217000	22471000	45232000	67134000	110094000	21570000
124221	      도서인쇄비	39225000	64665000	77684000	112811000	16251000	51315000	56178000	94943000	25577000	43162000	49848000	79559000	18432000
124222	      차량유지비	2733000	5172000	6447000	8571000	1349000	3174000	5203000	7941000	1942000	3988000	5919000	7782000	1884000
124223	      교육훈련비	234085000	510119000	702696000	977982000	138741000	504718000	768691000	1779767000	182951000	514004000	721338000	1409739000	151800000
124224	      수수료비용	639507000	1075183000	1778488000	2640880000	701172000	1020197000	1723823000	2775405000	606795000	1187832000	1774821000	2979734000	587854000
124226	      리스료													
124227	      전산처리비													
124228	      하자보수비													
124225	      기타관리비	72754000	135152000	198855000	283548000	65492000	131619000	195992000	288016000	68757000	137789000	205828000	286266000	60196000
124300	   판매비	353938000	800423000	1447515000	2170456000	352597000	735622000	1325094000	1911630000	388934000	805371000	1491975000	2216766000	346783000
124311	      접대비	1776000	28434000	6990000	7779000	1898000	3616000	5354000	7584000	1653000	2521000	3575000	4731000	1523000
124312	      광고선전비	351702000	771183000	1439113000	2160483000	350461000	731518000	1318651000	1902484000	386833000	801982000	1487045000	2210161000	344839000
124313	      보관료													
124314	      견본비													
124315	      포장비													
124316	      운반비	460000	806000	1412000	2194000	238000	488000	1089000	1562000	448000	868000	1355000	1874000	421000
124317	      판매수수료													
124319	      판매촉진비													
124318	      해외시장개척비													
124320	      수출비용													
124322	      A/S비													
124323	      반품충당부채전입액													
124321	      기타판매비													
124400	   기타판매비와관리비	140811000	305670000	529265000	729140000	171040000	337688000	552702000	752475000	131049000	262767000	466348000	651491000	135127000
124405	      [개발비 비용]													
124406	      연구비													
124410	      경상연구개발비													
124420	      경상개발비		177000	257000	363000	81000	165000	249000	334000	389000	1363000	1726000	2363000	615000
124421	      로얄티													
124440	      대손상각비													
124450	      무형자산상각비	91507000	183128000	278619000	381207000	100161000	200491000	303650000	377444000	74283000	145994000	213335000	281362000	69707000
124451	         영업권상각													
124452	         부의영업권환입(-)													
124461	         라이선스와프랜차이즈상각													
124453	         산업재산권상각	920000												
124462	         저작권상각													
124463	         임차권리금상각													
124454	         광업권상각													
124455	         어업권상각													
124456	         차지권상각													
124457	         전용시설이용권상각													
124458	         창업비상각													
124459	         개발비상각													
124470	         소프트웨어상각	90587000												
124471	         기타무형자산상각		183128000	278619000	381207000	100161000	200491000	303650000	377444000	74283000	145994000	213335000	281362000	69707000
124472	      중간기간판매비와관리비조정													
124460	      기타의기타판매비와관리비	49304000	122365000	250389000	347570000	70798000	137032000	248803000	374697000	56377000	115410000	251287000	367766000	64805000
125000	영업이익(손실)	27218612000	38224502000	51960448000	51017881000	13850260000	27059306000	32854689000	38324546000	20169552000	36130475000	53445043000	52644454000	18148064000
125001	[공시영업이익(손실)]	27218612000	38224502000	51960448000	51017881000	13850260000	27059306000	32854689000	38324546000	20169552000	36130475000	53445043000	52644454000	18148064000
125100	영업외수익	3140128000	5434627000	7975506000	10900845000	2810169000	5907345000	8846470000	12528722000	3216086000	11073882000	13619377000	16428058000	3489739000
125182	   금융수익	1856596000	4036415000	6193701000	8471194000	2191948000	4397144000	6729504000	9198916000	2470383000	4821814000	7209972000	9664413000	2551578000
125192	   [공시금융수익]	2904272000	5002552000	7338281000	10002860000	2508858000	5087795000	7791058000	11077075000	2936907000	10418552000	12807727000	15376408000	3158051000
125101	      이자수익	1770424000	3864318000	5935676000	8127492000	2106019000	4225290000	6475324000	9198916000	2470383000	4821814000	7209972000	9664413000	2551578000
125102	      장단기투자자산이자수익	86172000	172097000	258025000	343702000	85929000	171854000	254180000						
125103	      배당금 수익													
125132	      매출채권처분이익													
125116	      주식배당금수익													
125183	      기타금융수익													
125200	   단기투자자산처분이익													
125201	   장기투자자산처분이익													
125122	   투자자산처분이익													
125131	   단기금융상품처분이익													
125146	   단기매매금융자산처분이익													
125169	   당기손익인식금융자산처분이익							477560000	477560000		5177705000	5177705000	5177705000	
125147	   매도가능금융자산처분이익													
125148	   만기보유금융자산처분이익													
125104	   기타장단기투자자산처분이익													
125165	   지분법주식처분이익													
125184	   종속기업투자처분이익													
125185	   관계기업투자처분이익													
125186	   조인트벤처투자처분이익													
125133	   임대주택자산처분이익													
125123	   유,무형,리스자산처분이익			10564000	10564000					11110000	11110000	11110000	11110000	
125117	   신주인수권처분이익													
125161	   기타자산처분이익													
125105	   임대료수익													
125106	   수수료수익	151019000	327868000	504667000	680017000	173916000	361854000	555142000	768927000	180424000	359414000	557137000	769722000	217176000
125107	   원가차익													
125108	   매입할인													
125110	   보험차익													
125109	   외환차익	152101000	274720000	308358000	373857000	32710000	150283000	513667000	725468000	164602000	380463000	391850000	502721000	190751000
125111	   외화환산이익	389674000	101637000	113262000	216529000	99640000	179948000	70327000	675131000	301922000	38570000	28200000	31569000	415722000
125118	   파생상품거래이익													
125119	   파생상품거래대환입													
125126	   파생상품평가이익													
125187	   자산평가이익	505900000	589780000	722960000	941280000	184560000	360420000							
125143	      투자자산평가이익													
125141	      단기금융상품평가이익													
125144	      단기매매금융자산평가이익													
125155	      당기손익인식금융자산평가이익	505900000	589780000	722960000	941280000	184560000	360420000							
