코드	계정명	2023-09-30/Annual	2024-09-30/Annual	2025-09-30/Annual
123321	   외화환산손실			
123322	   파생상품거래손실			
123323	   파생상품거래차상각			
123324	   파생상품평가손실			
123325	   자산평가손실			
123332	      투자자산평가손실			
123326	      단기금융상품평가손실			
123329	      단기매매금융자산평가손실			
123338	      당기손익인식금융자산평가손실			
123333	      매도가능금융자산평가손실			
123331	      기타장단기투자자산평가손실			
123330	      단기투자일임계약자산평가손실			
123327	      재고자산평가손실			
123328	      재고자산감모손실			
123334	      유형자산평가손실			
123335	      무형자산평가손실			
123336	      투자부동산평가손실			
123396	      기타자산평가손실			
123337	   매출할인			
123358	   수수료비용			
123339	   원가차손			
123342	   무형자산상각비			
123343	      영업권상각			
123344	      부의영업권환입(-)			
123345	      라이선스와프랜차이즈상각			
123346	      산업재산권상각			
123347	      저작권상각			
123348	      임차권리금상각			
123349	      광업권상각			
123350	      어업권상각			
123351	      차지권상각			
123352	      전용시설이용권상각			
123353	      창업비상각			
123354	      개발비상각			
123355	      소프트웨어상각			
123356	      기타무형자산상각			
123363	   기타대손상각비			
123357	   감가상각비			
123369	   자전거래손실			
123370	   공정가액조정손실			
123380	   사채상환손실			
123384	   전환사채전환손실			
123381	   부채상환손실			
123382	   지분법손실			
123371	   자산손상차손			
123372	      임대주택자산손상차손			
123373	      투자자산손상차손			
123374	      매도가능금융자산손상차손			
123375	      만기보유금융자산손상차손			
123178	      기타장단기투자자산손상차손			
123376	      지분법주식손상차손			
123360	      종속기업투자손상차손			
123361	      관계기업투자손상차손			
123362	      조인트벤처투자손상차손			
123377	      유형자산손상차손			
123378	      무형자산손상차손			
123379	      기타자산손상차손			
123383	   법인세추납액			
123385	   중간기간오류손실			
123386	   중간기간영업외비용조정			
123387	   전기오류수정손실			
123388	   복구충당부채전입액			
123389	   복구공사손실			
123390	   재해손실			
123391	   특별상각			
123392	   해외사업환산손실상각			
123393	   기타비용			
124000	판매비와관리비	66891649000	354291797000	436144767000
124001	[총종업원급여]			
124002	[총감가상각비]			
124003	[총무형자산상각비]			
124100	   인건비	17948328000	122566518000	139263283000
124105	      단기종업원급여	14913145000	90919878000	103128753000
124110	         임원급여			
124120	         급료와임금	14913145000	90919878000	103128753000
124130	         제수당			
124140	         상여금			
124145	      퇴직급여	507873000	7930153000	8514326000
124165	      해고급여			
124166	      기타장기종업원급여			
124180	      주식보상비용			
124170	      복리후생비	2527310000	23716487000	27620204000
124199	      기타인건비			
124200	   일반관리비	37290953000	180581052000	236142689000
124211	      여비교통비	637670000	1718906000	2419166000
124212	      통신비			
124213	      수도광열비			
124214	      세금과공과	90859000	26175948000	45681525000
124215	      임차료비용	543474000	998974000	761740000
124216	      감가상각비	1001346000	45335170000	60779229000
124217	      수선비			
124218	      보험료			
124219	      도서구입비			
124220	      소모품비	1796741000	20865742000	8400689000
124221	      도서인쇄비			
124222	      차량유지비			
